,title,genres,imdb_score
282,The Bourne Ultimatum,  thriller    action  ,8.0
283,Public Enemies,  crime    drama    history    action    european  ,7.0
285,Sherlock Holmes,  crime    action    thriller  ,7.6
286,Love Actually,  drama    comedy    romance  ,7.6
287,Closer,  drama    romance  ,7.2
289,Something's Gotta Give,  romance    drama    comedy  ,6.7
290,Grown Ups,  comedy    drama    european  ,5.9
291,The Blind Side,  drama    sport  ,7.6
292,Quantum of Solace,  thriller    action  ,6.6
293,The Ring,  horror    european  ,7.1
295,Into the Wild,  drama  ,8.1
296,True Grit,  western    drama  ,7.6
298,Rambo,  thriller    action    war    european  ,7.0
299,Stardust,  fantasy    romance    family  ,7.6
301,The Last Samurai,  drama    history    war    action  ,7.8
304,The Book of Eli,  thriller    action    drama    european  ,6.8
305,Identity,  thriller  ,7.3
308,Shrek Forever After,  fantasy    comedy    family    romance    animation  ,6.3
309,Hairspray,  comedy    drama    romance  ,6.7
310,Corpse Bride,  fantasy    romance    animation    drama    family  ,7.3
311,Let Me In,  horror    drama    fantasy    thriller    european  ,7.1
312,Monster,  crime    drama    thriller    european  ,7.3
313,Without a Paddle,  thriller    comedy  ,5.8
314,Once Upon a Time in Mexico,  drama    action    crime    thriller  ,6.3
315,Cloudy with a Chance of Meatballs,  animation    drama    romance    comedy    family    fantasy    scifi  ,6.9
317,Blade II,  thriller    fantasy    scifi    action    horror  ,6.7
318,Chloe,  thriller    drama    romance    european  ,6.3
319,Blood Diamond,  thriller    drama  ,8.0
320,The Lake House,  drama    fantasy    romance    documentation  ,6.8
321,Terminator 3: Rise of the Machines,  thriller    scifi    action    european  ,6.3
322,Beerfest,  comedy  ,6.2
323,Heist,  thriller    drama    action    crime    european  ,6.5
324,Catch and Release,  romance    comedy    drama  ,5.9
325,Just Like Heaven,  drama    romance    fantasy    comedy  ,6.7
327,Four Brothers,  crime    action    drama    thriller  ,6.8
328,John Q,  drama    thriller    crime  ,7.0
329,Not Another Teen Movie,  comedy  ,5.7
330,21,  drama    crime    history    thriller  ,6.8
332,Terminator Salvation,  thriller    scifi    fantasy    war    action  ,6.5
333,Deck the Halls,  comedy    family  ,5.0
334,The Girl Next Door,  thriller    drama    crime    horror  ,6.5
335,The Cat in the Hat,  fantasy    comedy    family  ,4.0
337,Final Destination 3,  horror    thriller    action    crime    fantasy    european  ,5.8
338,Thir13en Ghosts,  thriller    horror    fantasy  ,5.6
339,The One,  scifi    thriller    action  ,5.9
340,Happy Feet,  comedy    fantasy    animation    family    music    romance  ,6.4
341,Ip Man,  drama    fantasy    action    history  ,8.0
342,Coach Carter,  drama    sport    european  ,7.3
343,Blade: Trinity,  action    thriller    fantasy    horror    scifi  ,5.8
344,Monster-in-Law,  romance    comedy  ,5.5
345,Halloween,  horror  ,6.0
346,How Do You Know,  drama    comedy    romance  ,5.4
347,The Sweetest Thing,  comedy    romance  ,5.1
348,The Final Destination,  horror    fantasy    scifi    action    thriller  ,5.1
349,The Other Boleyn Girl,  romance    drama    history  ,6.7
350,Friday the 13th,  horror    thriller  ,5.5
351,The Bucket List,  drama    comedy    european  ,7.4
352,Freddy vs. Jason,  horror    action  ,5.7
354,Memoirs of a Geisha,  drama    romance    european  ,7.3
355,A Nightmare on Elm Street,  horror    thriller    crime    drama  ,5.2
356,Body of Lies,  drama    action    thriller  ,7.1
357,A Cinderella Story,  romance    comedy    family  ,5.9
359,Osmosis Jones,  animation    action    comedy    crime    family    fantasy    scifi  ,6.3
360,Scary Movie 4,  comedy    horror  ,5.1
361,The Texas Chainsaw Massacre,  horror    crime  ,6.2
362,Fun with Dick and Jane,  comedy    crime  ,6.1
363,TMNT,  animation    comedy    family    fantasy    scifi    action  ,6.2
364,Due Date,  drama    comedy  ,6.5
365,Cop Out,  comedy    thriller    action    crime  ,5.5
368,3 Idiots,  comedy    drama  ,8.4
373,New York Minute,  comedy    crime    family    romance  ,4.8
376,Dreamer: Inspired By a True Story,  drama    family    sport    fantasy  ,6.8
377,Monster House,  fantasy    animation    comedy    family  ,6.6
378,Starsky & Hutch,  comedy    crime  ,6.1
379,Tears of the Sun,  drama    thriller    war    action  ,6.6
382,The Cave,  horror    thriller    scifi    action    european  ,5.1
384,The Texas Chainsaw Massacre: The Beginning,  horror    thriller    documentation  ,5.8
385,I Am Sam,  drama  ,7.6
386,The Spiderwick Chronicles,  fantasy    thriller    action    drama    family  ,6.5
387,Rumor Has It...,  comedy    drama    romance  ,5.5
390,I Now Pronounce You Chuck & Larry,  comedy    romance  ,5.9
392,World Trade Center,  thriller    history    drama  ,6.0
393,Premonition,  thriller    drama    fantasy  ,5.9
395,Eagle Eye,  thriller    action    european  ,6.6
397,Lagaan: Once Upon a Time in India,  drama    romance    sport  ,8.1
398,The Men Who Stare at Goats,  comedy    war  ,6.2
400,Friends with Money,  romance    comedy    drama  ,5.8
401,Legend of the Guardians: The Owls of Ga'Hoole,  fantasy    family    action    war    drama    thriller    animation  ,6.9
406,Death at a Funeral,  comedy  ,5.6
411,Blood and Bone,  thriller    action    crime    drama    sport  ,6.7
412,Ip Man 2,  drama    history    sport    action  ,7.5
414,Like Stars on Earth,  drama    family  ,8.3
418,Felon,  crime    thriller    drama    action  ,7.4
421,Stuart Little 2,  comedy    fantasy    animation    family  ,5.5
424,Did You Hear About the Morgans?,  comedy    romance    drama  ,4.9
429,Chaos,  action    crime    drama    thriller    european  ,6.4
433,Comedian,  comedy    documentation  ,6.9
434,Delta Farce,  action    comedy  ,3.6
435,One Piece: Strong World,  fantasy    animation    action  ,7.5
436,Christmas with the Kranks,  comedy    family  ,5.4
438,Love Happens,  drama    romance  ,5.6
444,Kabhi Khushi Kabhie Gham,  drama    romance  ,7.4
445,Naruto Shippuden the Movie,  fantasy    animation    action    family  ,6.7
447,Trailer Park Boys: The Movie,  comedy    crime  ,7.1
448,Jeff Dunham: Arguing with Myself,  comedy    documentation  ,8.0
449,From Within,  thriller    horror    documentation    war    european  ,5.6
450,Jodhaa Akbar,  romance    history    war    action    drama  ,7.5
451,And Then Came Lola,  comedy    drama    romance  ,3.9
453,Om Shanti Om,  comedy    drama    fantasy    romance    thriller    action  ,6.7
454,Jab We Met,  comedy    drama    romance  ,7.9
457,Bon Cop Bad Cop,  crime    scifi    drama    thriller    action    comedy  ,6.5
458,Naruto: Ninja Clash in the Land of Snow,  comedy    action    animation    fantasy  ,6.6
461,I Will Follow,  drama  ,5.9
462,Alpha and Omega,  animation    romance    comedy    family  ,5.1
463,One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,  drama    comedy    animation    action  ,6.9
465,Waist Deep,  thriller    drama    crime    action  ,5.8
466,Naruto: Guardians of the Crescent Moon Kingdom,  action    animation  ,6.4
467,First Sunday,  comedy    crime    drama  ,4.5
470,My Suicide,  comedy    drama  ,7.0
474,Accident,  thriller  ,6.6
476,Naruto: Legend of the Stone of Gelel,  fantasy    comedy    drama    animation    action  ,6.4
479,Billu,  drama    comedy  ,6.3
484,Dil Chahta Hai,  drama    comedy    romance  ,8.1
485,Trailer Park Boys: Countdown to Liquor Day,  comedy    crime  ,7.3
486,Bleach the Movie: Hell Verse,  fantasy    animation    action  ,7.4
490,Naruto Shippuden the Movie: The Lost Tower,  action    animation    fantasy  ,6.9
491,Naruto Shippuden the Movie: Bonds,  fantasy    animation    action  ,6.8
492,Naruto Shippuden the Movie: The Will of Fire,  action    animation    fantasy  ,7.0
493,Linewatch,  thriller    crime    drama  ,5.4
494,The Boy Who Cried Werewolf,  fantasy    horror    comedy    family  ,5.9
495,Dostana,  drama    comedy    romance  ,6.5
497,Don,  thriller    crime    action    european  ,7.1
501,"One Piece: Episode of Chopper Plus: Bloom in the Winter, Miracle Cherry Blossom",  action    animation    comedy    drama    fantasy  ,7.0
506,Bleach the Movie: Fade to Black,  fantasy    drama    animation    action  ,7.2
507,Rang De Basanti,  comedy    drama    history    crime  ,8.1
509,Swades,  drama    european  ,8.1
514,Kal Ho Naa Ho,  drama    comedy    romance  ,7.9
515,Sivaji: The Boss,  drama    crime    thriller    action  ,7.5
516,Ishqiya,  comedy    thriller    romance    drama  ,7.3
518,Guzaarish,  drama    romance  ,7.4
522,Kabhi Alvida Naa Kehna,  drama    romance  ,6.0
524,Black Friday,  crime    action    drama    history  ,8.4
528,Golmaal Returns,  comedy    crime  ,5.1
531,Bluffmaster!,  drama    comedy    romance    thriller    crime  ,6.6
532,Inuyasha the Movie 4: Fire on the Mystic Island,  fantasy    action    comedy    animation  ,7.2
539,Inuyasha the Movie: Affections Touching Across Time,  action    animation    fantasy  ,7.2
540,Once Upon a Time in Mumbaai,  thriller    crime    drama    romance    action  ,7.4
541,Guru,  romance    documentation    drama    european  ,7.7
542,Main Hoon Na,  drama    romance    thriller    action    comedy  ,7.0
543,Romantik Komedi,  romance    comedy  ,5.3
544,Jeff Dunham's Very Special Christmas Special,  comedy    documentation  ,7.4
545,Paheli,  fantasy    drama    romance    comedy  ,6.3
546,Honeymoon Travels Pvt. Ltd.,  comedy    drama    romance  ,6.1
548,Inuyasha the Movie 3: Swords of an Honorable Ruler,  fantasy    thriller    animation    action  ,7.6
550,Kaminey,  drama    crime    action    thriller  ,7.4
552,Kevin Hart: I'm a Grown Little Man,  comedy    documentation  ,7.5
553,G.O.R.A.,  scifi    comedy  ,8.0
558,"LSD: Love, Sex aur Dhokha",  drama    comedy    crime    romance  ,7.2
562,Chup Chup Ke,  comedy    drama    romance  ,6.9
563,Manorama Six Feet Under,  thriller    crime    drama  ,7.6
568,Karthik Calling Karthik,  thriller    drama    romance  ,7.1
571,Ajab Prem Ki Ghazab Kahani,  action    comedy    romance  ,6.3
572,Dhan Dhana Dhan Goal,  drama    sport    thriller  ,5.0
574,Yuva,  action    drama    thriller  ,7.3
576,Namastey London,  comedy    drama    romance  ,7.1
577,Fashion,  romance    drama  ,6.9
578,Peepli Live,  drama    comedy  ,7.4
579,Lakshya,  drama    romance    war    action  ,7.8
583,Do Dooni Chaar,  drama    comedy    crime  ,7.5
584,Kismat Konnection,  romance    comedy    drama  ,5.3
589,The Figurine (Araromire),  horror    thriller  ,4.4
591,Kurbaan,  thriller    action    crime    drama    romance    sport  ,5.7
593,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,  animation    fantasy    action    romance    comedy  ,7.3
598,Chalte Chalte,  comedy    drama    romance  ,6.5
599,Mumbai Meri Jaan,  drama  ,7.7
600,Aamir,  thriller    action    crime    drama  ,7.6
606,Race,  drama    action    thriller    crime    comedy  ,6.9
607,Udaan,  drama  ,8.1
609,We Are Family,  drama    comedy    family  ,5.6
611,Raajneeti,  drama    thriller    crime  ,7.1
617,Dev.D,  drama    romance    comedy  ,7.9
