key,title,genres,imdb_score
154,Hollow Man,horror,5.8
154,Hollow Man,thriller,5.8
155,Godzilla,thriller,5.4
155,Godzilla,scifi,5.4
155,Godzilla,action,5.4
157,Spawn,fantasy,5.2
157,Spawn,horror,5.2
157,Spawn,scifi,5.2
157,Spawn,thriller,5.2
157,Spawn,action,5.2
157,Spawn,drama,5.2
158,Dennis the Menace,comedy,5.6
158,Dennis the Menace,family,5.6
159,The Net,thriller,5.9
159,The Net,action,5.9
159,The Net,crime,5.9
159,The Net,drama,5.9
160,The Devil's Own,thriller,6.2
160,The Devil's Own,drama,6.2
160,The Devil's Own,action,6.2
160,The Devil's Own,crime,6.2
160,The Devil's Own,european,6.2
161,Croupier,thriller,7
161,Croupier,european,7
161,Croupier,crime,7
161,Croupier,drama,7
162,Teenage Mutant Ninja Turtles III,fantasy,4.7
162,Teenage Mutant Ninja Turtles III,scifi,4.7
162,Teenage Mutant Ninja Turtles III,action,4.7
162,Teenage Mutant Ninja Turtles III,comedy,4.7
162,Teenage Mutant Ninja Turtles III,family,4.7
163,The General's Daughter,drama,6.4
163,The General's Daughter,crime,6.4
163,The General's Daughter,thriller,6.4
164,The Next Karate Kid,drama,4.5
164,The Next Karate Kid,family,4.5
164,The Next Karate Kid,romance,4.5
164,The Next Karate Kid,sport,4.5
164,The Next Karate Kid,action,4.5
165,I Still Know What You Did Last Summer,thriller,4.7
165,I Still Know What You Did Last Summer,horror,4.7
166,Double Team,scifi,4.7
166,Double Team,action,4.7
166,Double Team,comedy,4.7
166,Double Team,thriller,4.7
167,Under Suspicion,thriller,6.5
167,Under Suspicion,crime,6.5
167,Under Suspicion,drama,6.5
167,Under Suspicion,european,6.5
171,Geronimo: An American Legend,western,6.5
171,Geronimo: An American Legend,drama,6.5
171,Geronimo: An American Legend,history,6.5
172,The Mirror Has Two Faces,romance,6.6
172,The Mirror Has Two Faces,comedy,6.6
172,The Mirror Has Two Faces,drama,6.6
175,Knight Rider 2000,action,4.5
175,Knight Rider 2000,scifi,4.5
176,The Last Days,drama,7.9
176,The Last Days,documentation,7.9
176,The Last Days,war,7.9
178,Heavy,romance,6.8
178,Heavy,drama,6.8
183,Jerry Seinfeld: I'm Telling You for the Last Time,comedy,7.9
183,Jerry Seinfeld: I'm Telling You for the Last Time,documentation,7.9
185,Wild Tango,drama,6.7
185,Wild Tango,music,6.7
185,Wild Tango,romance,6.7
186,Kuch Kuch Hota Hai,drama,7.6
186,Kuch Kuch Hota Hai,romance,7.6
186,Kuch Kuch Hota Hai,comedy,7.6
189,Herod's Law,drama,7.8
189,Herod's Law,comedy,7.8
189,Herod's Law,crime,7.8
190,Tim Allen: Rewires America,comedy,5.9
190,Tim Allen: Rewires America,documentation,5.9
192,Dil Se..,drama,7.5
192,Dil Se..,romance,7.5
196,Oh Darling! Yeh Hai India!,comedy,4
199,West Beirut,romance,7.6
199,West Beirut,war,7.6
199,West Beirut,comedy,7.6
199,West Beirut,drama,7.6
199,West Beirut,european,7.6
200,Muthu,drama,7.6
200,Muthu,comedy,7.6
200,Muthu,romance,7.6
200,Muthu,action,7.6
203,Chamatkar,comedy,6.5
203,Chamatkar,fantasy,6.5
203,Chamatkar,drama,6.5
203,Chamatkar,crime,6.5
206,Hum Saath Saath Hain,fantasy,6.2
206,Hum Saath Saath Hain,romance,6.2
206,Hum Saath Saath Hain,family,6.2
206,Hum Saath Saath Hain,drama,6.2
207,Kabhi Haan Kabhi Naa,comedy,7.6
207,Kabhi Haan Kabhi Naa,drama,7.6
207,Kabhi Haan Kabhi Naa,music,7.6
207,Kabhi Haan Kabhi Naa,romance,7.6
209,Phir Bhi Dil Hai Hindustani,comedy,6.1
209,Phir Bhi Dil Hai Hindustani,romance,6.1
209,Phir Bhi Dil Hai Hindustani,drama,6.1
212,Chaahat,drama,5.5
212,Chaahat,romance,5.5
214,Maya Memsaab,romance,5.4
214,Maya Memsaab,drama,5.4
214,Maya Memsaab,thriller,5.4
216,Duplicate,comedy,5.5
216,Duplicate,action,5.5
216,Duplicate,crime,5.5
216,Duplicate,thriller,5.5
219,English Babu Desi Mem,romance,4.5
219,English Babu Desi Mem,comedy,4.5
219,English Babu Desi Mem,drama,4.5
225,Sinbad: Afros and Bellbottoms,comedy,7.8
225,Sinbad: Afros and Bellbottoms,documentation,7.8
232,Avvai Shanmugi,drama,7.9
232,Avvai Shanmugi,comedy,7.9
233,Minsara Kanavu,comedy,6.7
233,Minsara Kanavu,drama,6.7
233,Minsara Kanavu,romance,6.7
254,Forgetting Sarah Marshall,comedy,7.1
254,Forgetting Sarah Marshall,drama,7.1
254,Forgetting Sarah Marshall,romance,7.1
255,War of the Worlds,thriller,6.5
255,War of the Worlds,action,6.5
255,War of the Worlds,scifi,6.5
260,Inception,scifi,8.8
260,Inception,music,8.8
260,Inception,thriller,8.8
260,Inception,action,8.8
262,How to Train Your Dragon,fantasy,8.1
262,How to Train Your Dragon,animation,8.1
262,How to Train Your Dragon,action,8.1
262,How to Train Your Dragon,comedy,8.1
262,How to Train Your Dragon,family,8.1
262,How to Train Your Dragon,drama,8.1
265,Michael Clayton,thriller,7.2
265,Michael Clayton,crime,7.2
265,Michael Clayton,drama,7.2
268,Jackass: The Movie,action,6.6
268,Jackass: The Movie,comedy,6.6
268,Jackass: The Movie,documentation,6.6
271,Zoolander,comedy,6.5
271,Zoolander,european,6.5
273,Charlie and the Chocolate Factory,fantasy,6.6
273,Charlie and the Chocolate Factory,comedy,6.6
273,Charlie and the Chocolate Factory,family,6.6
274,Cleaner,thriller,6.1
274,Cleaner,crime,6.1
275,Harold & Kumar Go to White Castle,comedy,7
276,The Social Network,drama,7.8
277,Road to Perdition,thriller,7.7
277,Road to Perdition,documentation,7.7
277,Road to Perdition,crime,7.7
277,Road to Perdition,drama,7.7
279,Blow,drama,7.5
279,Blow,crime,7.5
280,Shooter,thriller,7.2
280,Shooter,action,7.2
280,Shooter,drama,7.2
281,Big Fish,drama,8
281,Big Fish,fantasy,8
281,Big Fish,romance,8
282,The Bourne Ultimatum,thriller,8
282,The Bourne Ultimatum,action,8
283,Public Enemies,crime,7
283,Public Enemies,drama,7
283,Public Enemies,history,7
283,Public Enemies,action,7
283,Public Enemies,european,7
285,Sherlock Holmes,crime,7.6
285,Sherlock Holmes,action,7.6
285,Sherlock Holmes,thriller,7.6
286,Love Actually,drama,7.6
286,Love Actually,comedy,7.6
286,Love Actually,romance,7.6
287,Closer,drama,7.2
287,Closer,romance,7.2
289,Something's Gotta Give,romance,6.7
289,Something's Gotta Give,drama,6.7
289,Something's Gotta Give,comedy,6.7
290,Grown Ups,comedy,5.9
290,Grown Ups,drama,5.9
290,Grown Ups,european,5.9
291,The Blind Side,drama,7.6
291,The Blind Side,sport,7.6
292,Quantum of Solace,thriller,6.6
292,Quantum of Solace,action,6.6
293,The Ring,horror,7.1
293,The Ring,european,7.1
295,Into the Wild,drama,8.1
296,True Grit,western,7.6
296,True Grit,drama,7.6
298,Rambo,thriller,7
298,Rambo,action,7
298,Rambo,war,7
298,Rambo,european,7
299,Stardust,fantasy,7.6
299,Stardust,romance,7.6
299,Stardust,family,7.6
301,The Last Samurai,drama,7.8
301,The Last Samurai,history,7.8
301,The Last Samurai,war,7.8
301,The Last Samurai,action,7.8
304,The Book of Eli,thriller,6.8
304,The Book of Eli,action,6.8
304,The Book of Eli,drama,6.8
304,The Book of Eli,european,6.8
305,Identity,thriller,7.3
308,Shrek Forever After,fantasy,6.3
308,Shrek Forever After,comedy,6.3
308,Shrek Forever After,family,6.3
308,Shrek Forever After,romance,6.3
308,Shrek Forever After,animation,6.3
309,Hairspray,comedy,6.7
309,Hairspray,drama,6.7
309,Hairspray,romance,6.7
310,Corpse Bride,fantasy,7.3
310,Corpse Bride,romance,7.3
310,Corpse Bride,animation,7.3
310,Corpse Bride,drama,7.3
310,Corpse Bride,family,7.3
311,Let Me In,horror,7.1
311,Let Me In,drama,7.1
311,Let Me In,fantasy,7.1
311,Let Me In,thriller,7.1
311,Let Me In,european,7.1
312,Monster,crime,7.3
312,Monster,drama,7.3
312,Monster,thriller,7.3
312,Monster,european,7.3
313,Without a Paddle,thriller,5.8
313,Without a Paddle,comedy,5.8
314,Once Upon a Time in Mexico,drama,6.3
314,Once Upon a Time in Mexico,action,6.3
314,Once Upon a Time in Mexico,crime,6.3
314,Once Upon a Time in Mexico,thriller,6.3
315,Cloudy with a Chance of Meatballs,animation,6.9
315,Cloudy with a Chance of Meatballs,drama,6.9
315,Cloudy with a Chance of Meatballs,romance,6.9
315,Cloudy with a Chance of Meatballs,comedy,6.9
315,Cloudy with a Chance of Meatballs,family,6.9
315,Cloudy with a Chance of Meatballs,fantasy,6.9
315,Cloudy with a Chance of Meatballs,scifi,6.9
317,Blade II,thriller,6.7
317,Blade II,fantasy,6.7
317,Blade II,scifi,6.7
317,Blade II,action,6.7
317,Blade II,horror,6.7
318,Chloe,thriller,6.3
318,Chloe,drama,6.3
318,Chloe,romance,6.3
318,Chloe,european,6.3
319,Blood Diamond,thriller,8
319,Blood Diamond,drama,8
320,The Lake House,drama,6.8
320,The Lake House,fantasy,6.8
320,The Lake House,romance,6.8
320,The Lake House,documentation,6.8
321,Terminator 3: Rise of the Machines,thriller,6.3
321,Terminator 3: Rise of the Machines,scifi,6.3
321,Terminator 3: Rise of the Machines,action,6.3
321,Terminator 3: Rise of the Machines,european,6.3
322,Beerfest,comedy,6.2
323,Heist,thriller,6.5
323,Heist,drama,6.5
323,Heist,action,6.5
323,Heist,crime,6.5
323,Heist,european,6.5
324,Catch and Release,romance,5.9
324,Catch and Release,comedy,5.9
324,Catch and Release,drama,5.9
325,Just Like Heaven,drama,6.7
325,Just Like Heaven,romance,6.7
325,Just Like Heaven,fantasy,6.7
325,Just Like Heaven,comedy,6.7
327,Four Brothers,crime,6.8
327,Four Brothers,action,6.8
327,Four Brothers,drama,6.8
327,Four Brothers,thriller,6.8
328,John Q,drama,7
328,John Q,thriller,7
328,John Q,crime,7
329,Not Another Teen Movie,comedy,5.7
330,21,drama,6.8
330,21,crime,6.8
330,21,history,6.8
330,21,thriller,6.8
332,Terminator Salvation,thriller,6.5
332,Terminator Salvation,scifi,6.5
332,Terminator Salvation,fantasy,6.5
332,Terminator Salvation,war,6.5
332,Terminator Salvation,action,6.5
333,Deck the Halls,comedy,5
333,Deck the Halls,family,5
334,The Girl Next Door,thriller,6.5
334,The Girl Next Door,drama,6.5
334,The Girl Next Door,crime,6.5
334,The Girl Next Door,horror,6.5
335,The Cat in the Hat,fantasy,4
335,The Cat in the Hat,comedy,4
335,The Cat in the Hat,family,4
337,Final Destination 3,horror,5.8
337,Final Destination 3,thriller,5.8
337,Final Destination 3,action,5.8
337,Final Destination 3,crime,5.8
337,Final Destination 3,fantasy,5.8
337,Final Destination 3,european,5.8
338,Thir13en Ghosts,thriller,5.6
338,Thir13en Ghosts,horror,5.6
338,Thir13en Ghosts,fantasy,5.6
339,The One,scifi,5.9
339,The One,thriller,5.9
339,The One,action,5.9
340,Happy Feet,comedy,6.4
340,Happy Feet,fantasy,6.4
340,Happy Feet,animation,6.4
340,Happy Feet,family,6.4
340,Happy Feet,music,6.4
340,Happy Feet,romance,6.4
341,Ip Man,drama,8
341,Ip Man,fantasy,8
341,Ip Man,action,8
341,Ip Man,history,8
342,Coach Carter,drama,7.3
342,Coach Carter,sport,7.3
342,Coach Carter,european,7.3
343,Blade: Trinity,action,5.8
343,Blade: Trinity,thriller,5.8
343,Blade: Trinity,fantasy,5.8
343,Blade: Trinity,horror,5.8
343,Blade: Trinity,scifi,5.8
344,Monster-in-Law,romance,5.5
344,Monster-in-Law,comedy,5.5
345,Halloween,horror,6
346,How Do You Know,drama,5.4
346,How Do You Know,comedy,5.4
346,How Do You Know,romance,5.4
347,The Sweetest Thing,comedy,5.1
347,The Sweetest Thing,romance,5.1
348,The Final Destination,horror,5.1
348,The Final Destination,fantasy,5.1
348,The Final Destination,scifi,5.1
348,The Final Destination,action,5.1
348,The Final Destination,thriller,5.1
349,The Other Boleyn Girl,romance,6.7
349,The Other Boleyn Girl,drama,6.7
349,The Other Boleyn Girl,history,6.7
350,Friday the 13th,horror,5.5
350,Friday the 13th,thriller,5.5
351,The Bucket List,drama,7.4
351,The Bucket List,comedy,7.4
351,The Bucket List,european,7.4
352,Freddy vs. Jason,horror,5.7
352,Freddy vs. Jason,action,5.7
354,Memoirs of a Geisha,drama,7.3
354,Memoirs of a Geisha,romance,7.3
354,Memoirs of a Geisha,european,7.3
355,A Nightmare on Elm Street,horror,5.2
355,A Nightmare on Elm Street,thriller,5.2
355,A Nightmare on Elm Street,crime,5.2
355,A Nightmare on Elm Street,drama,5.2
356,Body of Lies,drama,7.1
356,Body of Lies,action,7.1
356,Body of Lies,thriller,7.1
357,A Cinderella Story,romance,5.9
357,A Cinderella Story,comedy,5.9
357,A Cinderella Story,family,5.9
359,Osmosis Jones,animation,6.3
359,Osmosis Jones,action,6.3
359,Osmosis Jones,comedy,6.3
359,Osmosis Jones,crime,6.3
359,Osmosis Jones,family,6.3
359,Osmosis Jones,fantasy,6.3
359,Osmosis Jones,scifi,6.3
360,Scary Movie 4,comedy,5.1
360,Scary Movie 4,horror,5.1
